geoid,address/postal1,population,Error
04000US39,56,11609756,0
86000US16159,16159,4824,325
86000US43001,43001,2890,453
86000US43002,43002,3238,802
86000US43003,43003,2895,426
86000US43004,43004,25768,1459
86000US43005,43005,200,124
86000US43006,43006,609,198
86000US43008,43008,2619,56
86000US43009,43009,2219,358
86000US43010,43010,288,92
86000US43011,43011,7952,582
86000US43013,43013,950,224
86000US43014,43014,3481,367
86000US43015,43015,53852,951
86000US43016,43016,35673,1134
86000US43017,43017,40273,1097
86000US43019,43019,9415,863
86000US43021,43021,12242,718
86000US43022,43022,4548,420
86000US43023,43023,13284,506
86000US43025,43025,5191,469
86000US43026,43026,61659,1294
86000US43028,43028,8057,631
86000US43029,43029,676,179
86000US43030,43030,106,169
86000US43031,43031,12815,665
86000US43032,43032,42,44
86000US43033,43033,332,81
86000US43035,43035,26856,739
86000US43036,43036,280,85
86000US43037,43037,299,102
86000US43040,43040,34001,523
86000US43044,43044,5009,312
86000US43045,43045,1815,313
86000US43046,43046,3860,368
86000US43050,43050,27635,704
86000US43054,43054,25239,1054
86000US43055,43055,61813,755
86000US43056,43056,18471,868
86000US43060,43060,2705,269
86000US43061,43061,4109,344
86000US43062,43062,29098,672
86000US43064,43064,13571,462
86000US43065,43065,42075,777
86000US43066,43066,1241,261
86000US43067,43067,1536,251
86000US43068,43068,55436,1281
86000US43070,43070,160,116
86000US43071,43071,1815,385
86000US43072,43072,5749,335
86000US43074,43074,12787,486
86000US43076,43076,8478,567
86000US43077,43077,335,112
86000US43078,43078,20685,429
86000US43080,43080,5452,598
86000US43081,43081,59623,1258
86000US43082,43082,32922,624
86000US43084,43084,817,154
86000US43085,43085,25626,826
86000US43101,43101,280,95
86000US43102,43102,4561,467
86000US43103,43103,11052,660
86000US43105,43105,7803,475
86000US43106,43106,1645,211
86000US43107,43107,3670,187
86000US43109,43109,86,35
86000US43110,43110,38274,1916
86000US43111,43111,298,174
86000US43112,43112,4594,547
86000US43113,43113,24288,770
86000US43115,43115,1397,263
86000US43116,43116,1630,267
86000US43117,43117,237,200
86000US43119,43119,27793,1483
86000US43123,43123,64336,987
86000US43125,43125,13695,924
86000US43126,43126,473,146
86000US43127,43127,197,180
86000US43128,43128,2409,181
86000US43130,43130,60352,700
86000US43135,43135,3768,482
86000US43136,43136,646,161
86000US43137,43137,2096,505
86000US43138,43138,18210,555
86000US43140,43140,24459,418
86000US43142,43142,140,73
86000US43143,43143,5124,321
86000US43144,43144,382,98
86000US43145,43145,2008,312
86000US43146,43146,12355,598
86000US43147,43147,40095,575
86000US43148,43148,2614,412
86000US43149,43149,2816,344
86000US43150,43150,2098,353
86000US43151,43151,280,93
86000US43152,43152,827,215
86000US43153,43153,785,162
86000US43154,43154,3283,503
86000US43155,43155,2645,356
86000US43156,43156,167,64
86000US43157,43157,578,166
86000US43158,43158,240,86
86000US43160,43160,22265,431
86000US43162,43162,6963,305
86000US43164,43164,2209,373
86000US43201,43201,31862,1071
86000US43202,43202,21541,1251
86000US43203,43203,8197,761
86000US43204,43204,42214,1615
86000US43205,43205,12913,821
86000US43206,43206,22144,902
86000US43207,43207,47350,1471
86000US43209,43209,28474,770
86000US43210,43210,12183,973
86000US43211,43211,23229,1240
86000US43212,43212,20322,663
86000US43213,43213,33337,1069
86000US43214,43214,26513,762
86000US43215,43215,14322,763
86000US43217,43217,2615,317
86000US43219,43219,30308,1401
86000US43220,43220,27216,884
86000US43221,43221,32433,1046
86000US43222,43222,3614,865
86000US43223,43223,25116,1469
86000US43224,43224,43899,1586
86000US43227,43227,24252,779
86000US43228,43228,54594,1875
86000US43229,43229,51701,1782
86000US43230,43230,56331,1026
86000US43231,43231,21166,1191
86000US43232,43232,44205,1537
86000US43235,43235,42005,1499
86000US43240,43240,4305,360
86000US43302,43302,54091,882
86000US43310,43310,3067,459
86000US43311,43311,18767,486
86000US43314,43314,3042,367
86000US43315,43315,6715,490
86000US43316,43316,6043,265
86000US43317,43317,122,50
86000US43318,43318,4362,763
86000US43319,43319,821,259
86000US43320,43320,1921,442
86000US43321,43321,246,71
86000US43322,43322,344,105
86000US43323,43323,688,163
